,content,score,clean_content,sentiment
17,"Penting aplikasinya dalam keperluan hiburan, dimana aplikasinya memberikan layanan video video berdurasi pendek yang dapat mengurangi tingkat ketegangan pada otak, akaibat dari seharian beraktifitas. Sebuah aplikasi nonton video pendek terbaik saat ini yang slalu menyajikan video video terbaru, saya suka menggunakannya sebab di mana saat menonton gak pernah ada gangguan seperti iklan, saat hanya sekedar menonton pun gak ada bayar berbayar alias gratis",5,aplikasinya keperluan hiburan dimana aplikasinya layanan video video berdurasi pendek mengurangi tingkat ketegangan otak akaibat seharian beraktifitas aplikasi nonton video pendek terbaik slalu menyajikan video video terbaru suka menggunakannya menonton gangguan iklan sekedar menonton bayar berbayar alias gratis,2
18,"Aplikasi yang penting dalam hiburan, begitu di sisi lain. Jika saya mengunggah konten selalu kena pelanggaran satu sampai tiga kali dalam 1 pekan. Padahal di konten saya tidak mengandung unsur negatif sama sekali, jadi semoga bisa di perbaiki lagi sistem nya karena membuat saya bingung dan tidak semangat untuk mengunggah konten.",4,aplikasi hiburan sisi mengunggah konten kena pelanggaran kali pekan konten mengandung unsur negatif semoga perbaiki sistem nya bingung semangat mengunggah konten,2
19,"kenapa ya tiktok sekarang? lagi scrol biasa sering banget tiba tiba masuk kedlm live orang, ini asli ganggu bgt jd tolong perbaiki lg ya, kdg banyak bug juga dari layar tb2 jadi setengah dan suara vidio tiktok muncul pas kita close app, aneh banget emg",1,ya tiktok scrol banget masuk kedlm live orang asli ganggu banget jd tolong perbaiki ya kdg bug layar tb suara vidio tiktok muncul pa close app aneh banget emg,0
20,"Setiap saya buka atau menonton konten dari tiktok, sering sekali aplikasi tidak mendukung dan keluar dari aplikasi dengan sendirinya, jadi gak asyik atau sangat tergganggu banget ya menonton aplikasi ini durasi tdk pernah lama langsung keluar dari aplikasi ini dngan sendirinya tolong di perbaiki lagi aplikasi nya donk",1,buka menonton konten tiktok aplikasi mendukung aplikasi asyik tergganggu banget ya menonton aplikasi durasi langsung aplikasi dngan tolong perbaiki aplikasi nya donk,0
21,"saya sedikit kecewa, kenapa saya tidak mendapatkan fitur efek seperti orang lain saat siaran langsung/live tidak ada fitur efek, hanya tersedia fitur sempurnakan, efek suara, dan stiker. saya sudah melakukan aju banding namun tidak dapat respon dari pihak, seharusnya semua perangkat mendapatkan fitur efek, tapi hanya karna device menengah tidak diberikan dukungan sama sekali dri pihaknya",4,kecewa fitur efek orang siaran langsunglive fitur efek tersedia fitur sempurnakan efek suara stiker aju banding respon perangkat fitur efek karna device menengah dukungan dri,2
22,"Setelah update berkali-kali bukannya tambah bagus malah tambah jelek, mulai dari video nya yang nge bug, kalo posting video atau foto jadi burik, ada tulisan yang mengganggu seperti (bagikan kepada ABC) atau (posting ulang untuk pengikut anda) yang sangat mengganggu pandangan mata Ketika melihat video, untuk para pegawai tiktok mohon diperbaiki bug dan tulisan gak jelas supaya dihapus",1,update berkalikali bagus jelek video nya nge bug mengunggah video foto burik tulisan mengganggu bagikan abc mengunggah ulang pengikut mengganggu pandangan mata video pegawai tiktok mohon diperbaiki bug tulisan dihapus,0
23,"Tolong pihak developer tiktok, perbaiki apk ini, ini bug yg paling parah dari beberapa aplikasi yg saya temui, bug ini membuat beberapa pengguna android menjadi harus bolak balik menginstal ulang apk ini agar dapat digunakan kembali. Kalau tdk di uninstal maka android akan lag parah sampai hang setelah mencoba membuka apk tiktok yg hanya stuck di logo tiktok saja. Sy mohon untuk update kedepannya lebih memperhatikan kompatibilitas nya terhadap versi android atau spesifikasi nya.",1,tolong developer tiktok perbaiki aplikasi bug yg parah aplikasi yg temui bug pengguna android bolak menginstal ulang aplikasi uninstal android lag parah hang mencoba membuka aplikasi tiktok yg stuck logo tiktok sy mohon update kedepannya memperhatikan kompatibilitas nya versi android spesifikasi nya,0
24,"Ngebug, stuck di logo, bikin hp hang, sering lag, loading lama, bikin hp jd masuk tempat service. bug parah. jelek banget updatenya! padahal dulu baik² aja. skrg kaya gini!! hrs uninstall ulang trs! hrs login berulang kali.",1,ngebug stuck logo bikin hp hang lag loading bikin hp jd masuk service bug parah jelek banget updatenya kaya gini hr uninstall ulang hr login berulang kali,0
25,"Percuma di update, setiap update tidak ada perubahan, aplikasi tetap berat semakin besar memakan banyak memori, tiktok masih sering tidak merespon, terhenti tidak berjalan aplikasi, sampah aplikasi sudah di bersihkan lho masih aja aplikasi tiktok tetap tidak merespon.",2,update update perubahan aplikasi berat memakan memori tiktok merespon terhenti berjalan aplikasi sampah aplikasi bersihkan lho aplikasi tiktok merespon,0
26,"Setiap kali saya membuka aplikasi TikTok, sering muncul bug seperti layar tidak merespon Saya sudah mencoba semua langkah dasar seperti menghapus cache dan memperbarui aplikasi, tetapi masalah tetap muncul. Mohon segera diperbaiki.",4,kali membuka aplikasi tiktok muncul bug layar merespon mencoba langkah dasar menghapus cache memperbarui aplikasi muncul mohon diperbaiki,2
27,"Aku beri bintang 3 karna apk nya bagus, tapi yg kurang nya itu kalo aku post foto dan video selalu jadi sedikit ngeblur kayak gak bersih gitu, padahal video dan foto ku semua nya jernih eh pas di post malah keliatan kayak gimana gitu, jelek deh inti nya",3,bintang karna aplikasi nya bagus yg nya unggah foto video ngeblur kayak bersih video foto ku nya jernih eh pa unggah keliatan kayak gimana jelek deh inti nya,1
28,"Saya sudah pakai apk tiktok dari 2022 tapi baru ini mengalami bug seperti ini, setiap buka apk hanya stuck di logo saja dan bahkan dipencet tidak bisa terbuka, sudah berbagai macam cara seperti hapus cache tapi tetap sama saja, tolong diperbaiki lagi ya min saya mohon sekali",1,pakai aplikasi tiktok mengalami bug buka aplikasi stuck logo dipencet terbuka hapus cache tolong diperbaiki ya min mohon,0
29,"Algoritma tiktok kacau!!Saya seorang konten kreator dan rela membuat banyak akun untuk mengecek algoritma tiktok. Saya upload konten, dan konten tersebut tidak muncul di akun lain, bahkan di bagian mengikuti pun tidak ada. Pantas saja video saya sepi, ternyata memang algoritma tiktok yang kacau!! Tolong diperbaiki nyet",1,algoritma tiktok kacausaya konten kreator rela akun mengecek algoritma tiktok upload konten konten muncul akun mengikuti video sepi algoritma tiktok kacau tolong diperbaiki nyet,0
30,tolong di perbaiki lagi saya yg awalnya punya streak 104 bug jadi hilang pas saya uinstal lagi baru muncul trs ga bisa gnti profil yg dari galeri tapi saat saya coba yg langsung dari kamera bisa2 aj padahal jaringan g lag!!,2,tolong perbaiki yg streak bug hilang pa uinstal muncul gnti profil yg galeri coba yg langsung kamera jaringan lag,0
31,"Males kasih bintang lebih dari 1 karena kata yg punya Aplikasi ini Akunku dibatasi setiap ingin CHECK IN, jadinya aku nggak bisa ngapa2in. Masak iya Saya masuk keAplikasi ni cuma mau nglihatin videonya orang2 tanpa bisa melakukan apapun gara gara Akun yg sudah terbatasi, bahkan niatku mau menghapus Aplikasi ini Saja dari Handphone Saya ini. Terimakasih TT",1,male kasih bintang yg aplikasi akunku dibatasi check in ngapain masak iya masuk keaplikasi ni nglihatin videonya orang apapun gara gara akun yg terbatasi niatku menghapus aplikasi handphone terimakasih tt,0
32,"Setelah diperbarui, video beranda/video yang disarankan jadi berbeda jauh dari video-video yang saya sukai, entah karena bug dari pembaruan atau apalah yang jelas buruk sekali algoritma TikTok ini 👎 Sangat mengecewakan sekali 👎",1,diperbarui video berandavideo disarankan berbeda videovideo sukai bug pembaruan apalah buruk algoritma tiktok mengecewakan,0
33,"sebenarnya apk ny bagus , tapi kadang klo masuk apk suka keluar"" sendiri, suka ngebug juga,padahal sinyal udh bgus 🙏apalagi pas lgi ngedit vt itu beberapa kali keluar"" terus 😓 itu menganggu bgt si apalagi pas fokus fokus nya ngedit , jdi tolong ya perbaiki bug nya untuk apk nya bagus fitur"" nya juga mantap👍 itu aj si masalah dari sya byee👋",3,aplikasi ny bagus kadang masuk aplikasi suka suka ngebug jugapadahal sinyal bgus pa lgi ngedit vt kali menganggu banget si pa fokus fokus nya ngedit jdi tolong ya perbaiki bug nya aplikasi nya bagus fitur nya mantap si sya byee,1
34,"Semenjak tiktok update aplikasinya tidak bisa di buka sama sekali harus uninstall apalikasi tersbut, tidak selang beberapa lama aplikasi kembali tidak bisa di buka kembali tolong dong di perbaiki, masa harus uninstall terlebih dahulu untuk membuka aplikasi nya??? Tolong di fix bug nya sangat merugikan bgt 👎",1,semenjak tiktok update aplikasinya buka uninstall apalikasi tersbut selang aplikasi buka tolong perbaiki uninstall membuka aplikasi nya tolong fix bug nya merugikan banget,0
35,"tiktok sekarang ga jelas banget baru buka tiktok dan liat satu video udh keluar sendiri mana lama banget lagi pas buka tiktoknya ga jelas banget, saya udah berulang kali update tiktok yg katanya bug udh di perbaiki tapi mana tetep aja ga ada yang berubah tolong dong di perbaiki yang bener gimana sih.",1,tiktok banget buka tiktok liat video banget pa buka tiktoknya banget berulang kali update tiktok yg bug perbaiki tetep berubah tolong perbaiki bener gimana sih,0
36,"Guys baca guys. tiktok buset anjrootttt, makin kesini-sini makin jelek, dan makin berat saat buka. Padahal jaringan WiFi full. Tiktok makin jelek ni saat buka. Developer tolong di update lagi biar ringan. Biar saya kasih bintang 5, saat ini 1 bintang.",1,guy baca guy tiktok buset anjroott kesinisini jelek berat buka jaringan wifi full tiktok jelek ni buka developer tolong update ringan biar kasih bintang bintang,0
37,"Selama ini tik tok sangat baik bermanfaat berguna dll tapi sekarang setelah update knp banyak sekali bug mulai dari macet trs tiba tiba keluar sendiri muncul logo tik toknya, trs kalo up video 1 menit+ soundnya di bisukan padahal dlu nggk seperti ini tolong lah untuk developer nya tolong diperbaiki lagi jujur saya sangat kecewa dengan tik tok😔 sekian dari saya trimakasih",1,tik tok bermanfaat berguna dll update bug macet muncul logo tik toknya up video menit soundnya bisukan dlu nggk tolong developer nya tolong diperbaiki jujur kecewa tik tok sekian trimakasih,0
38,"Selalu ada buq nya,kaya habis download terus di pakai aku tinggal 5-4 karena main,lah pas aku pencet logo tiktok gak bisa,sampai ya aku pake auto kliker, ini baru buq 1. ,,, Buq 2 nya pas logo tiktok di pencet kaya ngeleq terus beberapa detik muncul logo tiktok nya aku tungguin sekitar 15-23 menit masi gak bisa masuk ke titok nya, padahal dulu gak kaya gini. Semoga di baca ya sama devoloper nya",1,buq nyakaya habis download pakai tinggal mainlah pa pencet logo tiktok bisasampai ya pake auto kliker buq buq nya pa logo tiktok pencet kaya ngeleq detik muncul logo tiktok nya tungguin menit masi masuk titok nya kaya gini semoga baca ya devoloper nya,0
39,"Tiktok lu kenapa anjir, lag parah tiba2 keluar sendiri dari apk, apalagi kalo nonton live mau komen aja bener2 lag banget pas mau ngetik, kali ini bener2 ngecewain, perbaiki woiii perbaikiii, ngapain ada ulasan kayak gini tapi dari pihak tiktok leha2 aja ga ada niat buat ngeperbaikin apk nya sendiri.",1,tiktok lu anjir lag parah aplikasi nonton live komen bener lag banget pa ngetik kali bener ngecewain perbaiki woi perbaiki ulasan kayak gini tiktok leha niat ngeperbaikin aplikasi nya,0
40,"Sebenarnya bagus sih, tp pas itu pernah lagi asik scroll tiba tiba akun ku keluar sendiri dan ga bisa di balikin padahal followers udh banyak like juga udh banyak jd harus ngulang dr awal. Masih kesel banget apalagi gabisa di pulihin akun nya. Dan ga bisa daftar lagi akhirnya saya install lagi trus buat akun baru ehhh.... Hal yg sama Ter ulang lagi. Tolong sistem nya di perbaiki ya, soalnya vide yg sudah sy save banyak kali terus terusan hilang.",2,bagus sih pa asik scroll akun ku balikin pengikut menyukai jd ngulang kesel banget gabisa pulihin akun nya daftar install trus akun eh yg ter ulang tolong sistem nya perbaiki ya vide yg menyimpan kali terusan hilang,0
41,"Saya kira sdh tidak pakai tiktok 2 tahun ada perubahan ternyata sama saja, aplikasi sering keluar sendiri, video sering terjeda, aplikasi sering bug sendiri, nyesel download lagi kirain akan jadi hiburan ternyata bikin emosi saja,",1,sdh pakai tiktok perubahan aplikasi video terjeda aplikasi bug nyesel download kirain hiburan bikin emosi,0
42,"Aplikasinya sudah bagus sekali tapi tolong benerin bug saya, saya tadi mau lihat tiktok terus langsung keluar gitu, saya ulangi beberapa kali belum bisa cuma gambar hitam doang sama lagu yang ada",5,aplikasinya bagus tolong benerin bug lihat tiktok langsung ulangi kali gambar hitam doang lagu,2
43,"gimana sih banyak banget bug nya, kadang suka keluar sendiri padahal penyimpanan saya masih banyak tapi apk nya ttp aja ngelag, tolong di perbaiki saya capek instal uninstall mulu buat bisa main, mana tadi pas buka cmn stuk di logo, gimana sih",1,gimana sih banget bug nya kadang suka penyimpanan aplikasi nya ttp ngelag tolong perbaiki capek instal uninstall mulu main pa buka cmn stuk logo gimana sih,0
44,"Akan aku kasih tau alasannya kenapa setiap nonton konten di tiktok, selalu tidak terdukung. atau selalu milih keluar sendiri, dan itu tergantung dari penyimpanan ram pembawahan dari HP nya sendiri . jadi gak ada hubungannya dengan adanya aplikasi tiktok, jdi jika ingin ambil aplikasi tiktok hrus cek dulu penyimpanan ram dihapenya tinggal berapa GB, dan berkata baik itu indah, buat adminnya selamat berkaya dan selamat beraktivitasnya dan semoga sukses selalu amin ya robbal alamin🤲 🙏",5,kasih alasannya nonton konten tiktok terdukung milih tergantung penyimpanan ram pembawahan hp nya hubungannya aplikasi tiktok jdi ambil aplikasi tiktok hrus cek penyimpanan ram dihapenya tinggal gb indah adminnya selamat berkaya selamat beraktivitasnya semoga sukses amin ya robbal alamin,2
45,"Hpku leg parah setelah update tiktok. Emang t444i. Ganggu banget... So soan bikin affiliatet, suruh conten kreator promo program affiliate, eh pas dipake aplikasi sering bug. Iya kalo cuma gak bisa dipake... Lha ini bikin HP panas, restart sendiri... Lah t444i...",1,hpku leg parah update tiktok emang ti ganggu banget so soan bikin affiliatet suruh conten kreator promo program affiliate eh pa dipake aplikasi bug iya dipake lha bikin hp panas restart ti,0
46,"tolong di perbaiki lagi aplikasi nya,masa pas mau buka tiktok nggak bisa malah log out lagi log out lagi,terus banyak notif diulang beberapa kali,tidak bisa ganti foto profil,pas mau edit postingan malah keluar terus harus login kembali,tolong dibenerin!!",1,tolong perbaiki aplikasi nyamasa pa buka tiktok log out log out lagiterus notifikasi diulang kalitidak ganti foto profilpas edit postingan login kembalitolong dibenerin,0
47,"update : hari ke 3, masih ga bisa upload video dan nge-lag terus ------------------------ ini sudah ke 2x up video gagal dan nge-hang. sudah saya restart, cache sudah di bersihkan, memory hp saya tidak penuh, sudah saya update tetap error gabisa upload video. jadwal postingan saya jadi berantakan. semoga segera dibenahi karena sangat mengganggu user terutama seller & affiliate",1,update upload video ngelag up video gagal ngehang restart cache bersihkan memory hp penuh update error gabisa upload video jadwal postingan berantakan semoga dibenahi mengganggu user seller affiliate,0
48,"Developer tolong perbaiki bug nya, soalnya kadang mau masuk tiktok gak bisa muncul, logo teruss. massa iya apk ini harus hapus lalu download ulang lagi sampai seterusnya,mohon maaf tolong perbaiki lagi",2,developer tolong perbaiki bug nya kadang masuk tiktok muncul logo teruss massa iya aplikasi hapus download ulang seterusnyamohon maaf tolong perbaiki,0
49,"kepada developer tiktok yang terhormat, saya sudah menjadi pengguna lama aplikasi ini, setelah update an skrng kenapa banyak bug, saya sedang telfonan lalu membuka aplikasi tiktok dengan loading yang lama dan secara tiba tiba ngelag, lalu telfon saya mati dan ngelag sekali...mohon diperbaiki secara cepat agar pengguna bisa puasssss menggunakannya... TERIMAKASIH!!!",2,developer tiktok terhormat pengguna aplikasi update an skrng bug telfonan membuka aplikasi tiktok loading ngelag telfon mati ngelag sekalimohon diperbaiki cepat pengguna puasss menggunakannya terimakasih,0
50,"Kepada pihak developer tik tok tlng tambahkan fitur pengeditan pesan stelah di kirim seperti WhatsApp,soal ny ad komentar saya yang like ny udh bnyk TPI typo saat nulis ny dan terkirim tapi yang like banyak😅😅kan sayang aja gitu mau di hapus nulis ulang jadi tlng tambahkan fitur it. Terima kasih",4,developer tik tok tlng tambahkan fitur pengeditan pesan stelah kirim whatsappsoal ny ad komentar menyukai ny tpi typo nulis ny terkirim menyukai banyakkan sayang hapus nulis ulang tlng tambahkan fitur it terima kasih,2
51,"Setiap buka tiktok vidio nya berhenti cuma musiknya doang yang lancar, trs ga lama lagi keluar dan kadang-kadang musiknya doang yang ada videonya cuma layar hitam,Padahal udh aku update dan udh di unistal trs didownload lagi masih sama aja ngebug. GIMANA NIIHH PERBAIKI LAGI DONGG, BIKIN EMOSI KLO SETIAP BUKA TIKTOK!!.",1,buka tiktok vidio nya berhenti musiknya doang lancar kadangkadang musiknya doang videonya layar hitampadahal update unistal didownload ngebug gimana niihh perbaiki dongg bikin emosi klo buka tiktok,0
52,"pas lagi scroll pasti keluar sendiri dari aplikasi nya, terus banyak bug nya sekarang, kalo mau buka tiktok di click nya susah, susah masuk ke aplikasi nya, jadi terpaksa di uninstall, terus download lagi, seringg banget asli, padahal memo juga ga full banget",2,pa scroll aplikasi nya bug nya buka tiktok click nya susah susah masuk aplikasi nya terpaksa uninstall download seringg banget asli memo full banget,0
53,"aplikasinya selalu lagging, nonton live tiktok lagging nya luar biasa lelet, aplikasinya berat, suka keluar sendiri klo di pakai lama, tolong update selanjutnya buat aplikasinya lebih ringan dan tidak lelet saat nonton live, bila masih bertahan dengan kekurangan seperti ini, pasti akan saya un install aja app nya, klo bisa aplikasinya kompitabel buat semua jenis prosesor hape baik yang baru ataupun yang lama",1,aplikasinya lagging nonton live tiktok lagging nya lelet aplikasinya berat suka pakai tolong update aplikasinya ringan lelet nonton live bertahan kekurangan un install app nya aplikasinya kompitabel jenis prosesor hape,0
54,"Aplikasinya sudah bagus, cuma kdang ga bisa di buka,di update pun juga ga bisa di buka, harus hapus dulu aplikasinya, terus download lagi, dalam seminggu bisa dwnload sampai 4 kali. Padahal ram cukup., Memory internal juga cukup.... Tolong di perbaiki.",3,aplikasinya bagus kdang bukadi update buka hapus aplikasinya download seminggu dwnload kali ram memory internal tolong perbaiki,1
55,"saya pake tiktok udh lama dr 2019 tp knp pas saya download tiktok yg versi skrng jdjelek?? saya buka tiktok malah muncul logonya trs, udh nunggu lama tb² hp saya ke restart sendiri tlg dong bnrin lg, sm hasil foto jgn di buat burem. pdhl dlu bagus paa ada fitur foto, bisa di unduh tnpa di up dn lagi hasil fotonya ga burem, skrng malah nurun. tlg di perhatikan lg tntg komplain dn tingkatin kualitas aplikasinya",1,pake tiktok pa download tiktok yg versi skrng jdjelek buka tiktok muncul logonya nunggu tb hp restart tlg bnrin hasil foto burem dlu bagus paa fitur foto unduh tnpa up dn hasil fotonya burem skrng nurun tlg perhatikan tntg komplain dn tingkatin kualitas aplikasinya,0
56,"Tiktok jadi aneh sekarang, masak kalau nonton live di lewatin gak bisa, jadi tetap hidup ,meskipun aplokasinya ditutup suaranya tetap hidup, jadi haris matiin hp, atau harus matiin jaringan, aneh aneh aneh sekali, upgrad dong, biar gak mengganggu",2,tiktok aneh masak nonton live lewatin hidup aplokasinya ditutup suaranya hidup haris matiin hp matiin jaringan aneh aneh aneh upgrad mengganggu,0
57,koreksii kekurangan apk lu! 1. unduh video tanpa watermark ilang 2. video yg di unduh selalu rusak hasilnya 3. hasil foto yg di save pecah+ga hd pdhl wktu ambil foto hasilnya baik baik aja yg resolusi mp kamera udh baik,1,koreksii kekurangan aplikasi lu unduh video watermark ilang video yg unduh rusak hasilnya hasil foto yg menyimpan pecahtidak hd wktu ambil foto hasilnya yg resolusi mp kamera,0
