,content,score,clean_content,sentiment
10,"Aplikasi tidak bisa bekerja deng baik, karena loadingnya terlalu lama dan kurang praktis dalam edita selalu bermasalah terutama servernya tidak mau menerima padahal jaring disini sangat stabil👍 kenapa bisa begitu!!! Bisa dibenerin apa tidak, kalau tidak bisa ✋⛔🚫 uninstal makn kuota dan nguras batrey saja 👎👎",2,aplikasi deng loadingnya praktis edita bermasalah servernya menerima jaring stabil dibenerin uninstal makn kuota nguras batrey,0
11,"Sebenarnya Aplikasi sudah sangat bagus sebelum update, tapi semenjak setelah update beberapa bug muncul, seperti jaringan lag, server tidak bisa untuk upload foto dan video, padahal saya sudah mencoba untuk pindah ke device dan beberapa pc lain, kemudian juga dari jaringan data hingga wifi tapi tetap saja server terputus dan tidak bisa dipakai, ternyata setelah saya melihat beberapa ulasan banyak juga yang mengalami masalah seperti ini, semoga untuk kedepannya bisa cepat segera teratasi mslh ini",2,aplikasi bagus update semenjak update bug muncul jaringan lag server upload foto video mencoba pindah device pc jaringan data wifi server terputus dipakai ulasan mengalami semoga kedepannya cepat teratasi,0
12,"Saya merasa bahwa semakin lama mengunakan canvs semakin banyak grafis dari elemen² yang berbintang( wajib premium ) , saya beri bintang 3 karena terlalu sedikit elemen yang bisa saya gunakan untuk memuat tugas sekolah , mohon bantuannya untuk mengurangi elemen (grafis) yg mewajibkan premium , itu juga bisa meningkatkan pengguna canva , trima kasih.🙏",3,mengunakan canvs grafis elemen berbintang wajib premium bintang elemen memuat tugas sekolah mohon bantuannya mengurangi elemen grafis yg mewajibkan premium meningkatkan pengguna canva trima kasih,1
13,"halo , saya mau minta jawaban nya , kenapa canva saya setiap mengunduh selalu hasil nya menjadi buram dan buriq ? dulu tidak pernah seperti itu , tetapi beberapa hari ini canva saya setiap mengunduh hasilnya sangat buram dan buriq :› itu kenapa ya ? saya cukup bingung juga padahal sudah ngedit ulang tapi sama saja hasilnya :‹",1,halo nya canva mengunduh hasil nya buram buriq canva mengunduh hasilnya buram buriq ya bingung ngedit ulang hasilnya,0
14,"Aplikasinya bagus sih, tapi pas buka aplikasinya malahan lemot dan tampilannya ngelag pas mau edit presentasi. Padahal pakai kuota jaringan dan wifi masih lancar aja. Tapi pas edit presentasi malahan tampilannya ngelag. Terus mau ganti akun juga tampilannya ngelag. Tolong ya di perbaiki lagi, padahal bagus aplikasinya🙏🙏",1,aplikasinya bagus sih pa buka aplikasinya lemot tampilannya ngelag pa edit presentasi pakai kuota jaringan wifi lancar pa edit presentasi tampilannya ngelag ganti akun tampilannya ngelag tolong ya perbaiki bagus aplikasinya,0
15,"aplikasinya oke bagus dan sangat membantu buat pengeditan, tpi kalo buat ngedit d HP ram rendah seperti punyaku ram 4 kok berat banget ya. semoga bisa d upgrade supaya lebih ringan biar ga patah²🙏🙏",4,aplikasinya oke bagus membantu pengeditan tpi ngedit hp ram rendah punyaku ram berat banget ya semoga upgrade ringan patah,2
16,"Sangat user friendly bagi pemula/hanya sekedar desain sederhana,terlebih terbantu dengan banyaknya template yang tersedia. Kekurangan yang dirasa hanya masalah konsumsi data untuk pengguna data seluler benar benar tidak ramah (penggunaan data benar benar boros bahkan jika untuk sekedar desain sederhana).Contoh kasus mendownload hasil desain simple berdurasi kurang dari 10 detik,hasil desain yang di download hanya sebesar 1 Mb lebih tetapi proses download bisa memakan lebih dari 50 Mb.",5,user friendly pemulahanya sekedar desain sederhanaterlebih terbantu banyaknya template tersedia kekurangan dirasa konsumsi data pengguna data seluler ramah penggunaan data boros sekedar desain sederhanacontoh mendownload hasil desain simple berdurasi detikhasil desain download mb prose download memakan mb,2
17,Skrg efek edit ajaib sudah gak gratis lagi. Padahal disitu letak keunggulan canva. Otomatis hapus aja la aplikasinya. Sudah gak seru lagi.,1,skrg efek edit ajaib gratis disitu letak keunggulan canva otomatis hapus la aplikasinya seru,0
18,"Aplikasinya sangat bermanfaat dan praktis! Saya baru saja update canva dengan tampilan baru, saya memahami bahwa team developer harus terus melakukan inovasi pembaruan agar mengikuti perkembangan. Namun, tolong untuk fitur ""arrange"" atau ""maju selapis, maju paling depan, mundur selapis, mundur paling belakang"" diletakkan pada posisi yang mudah digunakan terutama untuk canva mobile karena fitur tersebut sangat penting dalam mendesain. Saya lebih menyukai versi sebelumnya daripada versi terbaru.",5,aplikasinya bermanfaat praktis update canva tampilan memahami team developer inovasi pembaruan mengikuti perkembangan tolong fitur arrange maju selapis maju mundur selapis mundur diletakkan posisi mudah canva mobile fitur mendesain menyukai versi versi terbaru,2
19,"Koo muncul periksa koneksi terus siii. Gabisa dipake sama sekali. Padahal paket data masih 100gb. Udh di update, udh uninstall pula tetep aja masalah koneksi. pake wifi pun gabisa. Pake data jg gabisa . Maunya pake apa.",1,koo muncul periksa koneksi si gabisa dipake paket data gb udh update uninstall tetep koneksi pake wifi gabisa pake data gabisa maunya pake,0
20,"Developer tolong berpikir sedikit saja. Semua desain itu pro ,.tidak ada satupun yang bagus tidak pro. Minimal Satu saja , lalu buat penyaringan gambar khusus pro atau tidak biar orang pun ga capek scroll buat nyari gambar yang ga pro. Menyebalkan rasanya semuanya itu pro",1,developer tolong berpikir desain pro satupun bagus pro minimal penyaringan gambar khusus pro orang capek scroll mencari gambar pro menyebalkan pro,0
21,"Aplikasinya lumayan bagus tp q kasih bintang 4 karena pas aku coba dan q download banyak yang GK sempurna kayak, fotonya GK keunduh pas ngedit,trus pas kayak lagi nyari sesuatu kayak gambar atau tulisan loading nya lama banget. Jadi kalo bisa kesalahan tadi bisa di perbaiki ^⁠_⁠^",4,aplikasinya lumayan bagus kasih bintang pa coba download gk sempurna kayak fotonya gk keunduh pa ngedittrus pa kayak mencari kayak gambar tulisan loading nya banget kesalahan perbaiki,2
22,"Waktu jaman dulu, pake aplikasi ini bener bener gampang dan mudah banget edit poster sama persentasi tapi sekarang bikin kecewa banget karna gak bisa pisahin tulisan sama gambar dengan mudah..... Tolonglah ini di update atau gimana gitu biar lebih gampang lagi ngeditnya... Makasih...",2,jaman pake aplikasi bener bener gampang mudah banget edit poster persentasi bikin kecewa banget karna pisahin tulisan gambar mudah tolonglah update gimana gampang ngeditnya makasih,0
23,"Apk ini sering kali muncul bug seperti :Tidak dapat menempel teks yang disalin,tidak dapat menggeser gambar,tidak dapat mengetik teks,dll.tolong developer perbaiki bug di apk canva ini karna sangat mengganggu dan menyulitkan saya ketika ingin membuat presentasi.sekian terimakasih🙏",2,apk kali muncul bug menempel teks disalintidak menggeser gambartidak mengetik teksdlltolong developer perbaiki bug apk canva karna mengganggu menyulitkan presentasisekian terimakasih,0
24,"Developer tolong sadar lah masa ini dari tadi saya download video 40 dtk tidak selesai selesai dah gitu lemot lagi ini video tugas tanggungan nya nilai satu halaman selama saya pakai aplikasi lain itu hanya 15 menit dan selesai, ini macam apa kayak Hewan kungkang, jangan komentar langsung aja update!! Dah gitu lagunya ada suara Tek Tek seperti korup memang aplikasi ini lambat sangat!",1,developer tolong sadar download video dtk selesai selesai dah lemot video tugas tanggungan nya nilai halaman pakai aplikasi menit selesai kayak hewan kungkang komentar langsung update dah lagunya suara tek tek korup aplikasi lambat,0
25,"Untuk folder ppt yang kita bintangin ini kemana ya? kok apk nya diperbarui malah hilang sih, kalau ga ada folder bintang nya kenapa masih ada sistem membintang inii. Saya sudah ikuti semua tahap yang ada tapi tetap tidak ada lagi folder bintang di fitur terbaru ini, tolong ya jika ingin menambahkan fitur baru minimal jangan merubah sesuatu yang sudah ada",2,folder ppt bintangin kemana ya apk nya diperbarui hilang sih folder bintang nya sistem membintang inii ikuti tahap folder bintang fitur terbaru tolong ya fitur minimal merubah,0
26,"canva makin parah!!! padahal udah jadi canva pro edu, design udah dari beberapa bulan lalu giliran edit dan setelah update malah harus bayar lagi untuk element yg premium🤦🏻‍♀️ udah sering ngelag, loading lama bgt masih harus bayar pula, lalu gunanya apa saya join canva pro???",1,canva parah canva pro edu design giliran edit update bayar element yg premium ngelag loading banget bayar gunanya join canva pro,0
27,Bagus untuk editing ppt dll tapi plis lah buat user android kadang kadang banyak bug dan kadang susah di pilih buat edit sangat meresahkan,3,bagus editing ppt dll plis user android kadang kadang bug kadang susah pilih edit meresahkan,1
28,"knpa muncul periksa koneksi trs dah, udh pake wifi/kuota sama aja, tolong developer nya di perbaikin, ini daritadi mau ngedit tugas ga bisa!!",1,knpa muncul periksa koneksi dah pake wifikuota tolong developer nya perbaikin daritadi ngedit tugas,0
29,"Simpel dan mudah digunakan, memiliki bermacam kegunaan, baik itu untuk promosi, saluran medsos, atau channel Youtube kamu. Gak nyesal download ini. Rekomendasi buat kalian semua. 👍🏼 Sukses selalu Canva!",5,simpel mudah memiliki kegunaan promosi saluran medsos channel youtube gak nyesal download rekomendasi sukses canva,2
30,"Bodoh, semakin di update semakin tidak jelas. Kenyamanan user dalam menjalankan dan mengerjakan sesuatu terhalang. Isu ini sudah dari tahun kemarin, terjadi jika tulisan dan karakter hampir memenuhi border. Ketika ingin memperbaiki tulisan yang posisinya di atas, aplikasi memaksa interface hanya di posisi paling bawah tulisan. Bagaimana kami mau bisa memperbaiki tulisan yang ada di atas jika sistemnya tidak bisa diatur untuk memindahkan interface ke atas? Jangan bodoh, profit sdh tinggi, update.",1,bodoh update kenyamanan user menjalankan terhalang isu kemarin tulisan karakter memenuhi border memperbaiki tulisan posisinya aplikasi memaksa interface posisi tulisan memperbaiki tulisan sistemnya diatur memindahkan interface bodoh profit update,0
31,"sebenarnya udah bagus semuaa, fitur/template/element juga baguss.. Cuma fitur nya banyak yang pro :( aku mu ngedit buat tugas sekolah jadi susah, aku harap canva bisa gratis deh itu aja, oh katanya kan buat pelajar gratis? Tapi kok ngga ya? Tlong dong soalnya butuh banget buat aku seorang pelajar, apalagi sekarang udah banyak tugas yang disuruh edit dicanva🙃",2,bagus semuaa fiturtemplateelement baguss fitur nya pro mu ngedit tugas sekolah susah harap canva gratis deh oh pelajar gratis ngga ya tlong butuh banget pelajar tugas disuruh edit dicanva,0
32,"Semenjak ganti ke tampilan baru, saya ingin membuat ppt tidak bisa masuk, ini gatau bug atau apa soalnya ada bacaan periksa koneksi jaringan padahal jaringan saya bagus saya sudah coba di tiktok atau apk lain lancar lancar aja",1,semenjak ganti tampilan ppt masuk gatau bug bacaan periksa koneksi jaringan jaringan bagus coba tiktok apk lancar lancar,0
33,"aplikasinya baguss banget! cocok buatt pelajar, cocok juga buat bikin presentasi, bikin poster feed ig dan yang lainnya, cuman kekurangan dari aku adalah, devnya tolong tambahin font yang berunsur islamic yaa.",5,aplikasinya baguss banget cocok buatt pelajar cocok bikin presentasi bikin poster feed ig cuman kekurangan devnya tolong tambahin font berunsur islamic yaa,2
34,"Aplikasi nya memudahkan kita untuk membuat ppt maupun banner, baliho dll. Tapi saat ini Canva tidak bisa dibuka di handphone setelah ada pembaruan menjadi eror, tolong di perbaiki terima kasih🙏🏽",4,aplikasi nya memudahkan ppt banner baliho dll canva dibuka handphone pembaruan eror tolong perbaiki terima kasih,2
35,Aplikasi yg recommended banget untuk membuat segala macam desain.. mudah penggunaan dan mudah untuk menyimpan hasil desain ke smartphone kita. Semoga bermanfaat..,5,aplikasi yg recommended banget desain mudah penggunaan mudah menyimpan hasil desain smartphone semoga bermanfaat,2
36,"Ribet, lag, lemot, suka ngecrash, dan sering delay. Kontrolnya susah sekali, apalagi sering terpencet sendiri. Sangat stress kalau lagi mau cepat-cepat!",2,ribet lag lemot suka ngecrash delay kontrolnya susah terpencet stress cepatcepat,0
37,sangat membantu untuk mengerjakan tugas ppt dan poster dan yg lain bisa milih buat desain sendiri dan ada template juga dan yg paling worthit itu gratis bagi pelajar dan mahasiswa bahkan guru😇😇 terimakasih yang suda membuat canva,5,membantu tugas ppt poster yg milih desain template yg worthit gratis pelajar mahasiswa guru terimakasih suda canva,2
38,"Fleksibel bisa buat laptop maupun hp Banyak fiturnya walau tak jarang juga harus pro biar dapet akses lebih, buat so far sangat membantu dalam berbagai bidang.",5,fleksibel laptop hp fiturnya jarang pro akses so far membantu bidang,2
39,"Aplikasi nya bagus tapi ada eror nya masak saya gak bisa ngisi data di bagan, suka keluar Mulu saat mau ngetik data di bagan manapun.",3,aplikasi nya bagus eror nya masak ngisi data bagan suka mulu ngetik data bagan manapun,1
40,"Ini gimana sih, setelah klik ""terima semua kuki"" gak muncul apapun full putih gak bisa login sama sekali. Giliran buka lewat web aman-aman aja!! Mohon diperbaiki lagi.",2,gimana sih klik terima kuki muncul apapun full putih login giliran buka web amanaman mohon diperbaiki,0
41,Aplikasi canva ini pokoknya bagus bagus bagus banget g akan nyesel deh kalo download aplikasinya murah busa nanya ke al juga pokoknya wajib wajib download deh g nyangka bakal sebagus ini cuma 12mb lagi cuma aku aad tips buat nambahin fitur kaligrafi juga biar gampang kalo mau bikin video kaligrafi tapi gpp deh pokoknya kalian semua wajib download buat canva diperkembangin terus deh semangat ya🤗🤗,5,aplikasi canva pokoknya bagus bagus bagus banget nyesel deh download aplikasinya murah busa al pokoknya wajib wajib download deh nyangka sebagus mb aad tip nambahin fitur kaligrafi gampang bikin video kaligrafi apaapa deh pokoknya wajib download canva diperkembangin deh semangat ya,2
42,"aplikasi ini sangat bagus dan menarik, karena aplikasi ini kita mudah membuat poster atau tugas presentasi, itu aja penjelasan dari aku Terima kasih semoga aplikasi canva ini berkembang dan tambah bagus",5,aplikasi bagus menarik aplikasi mudah poster tugas presentasi penjelasan terima kasih semoga aplikasi canva berkembang bagus,2
43,Banyakin template gratis/free dong Dan perbaiki lagi dong aplikasinya karena kadang waktu mau ngetik suka ngilang sendiri tulisan yang dah diketik mohon pengertian ny pihak aplikasi canva,5,banyakin template gratisfree perbaiki aplikasinya kadang ngetik suka ngilang tulisan dah diketik mohon pengertian ny aplikasi canva,2
44,"Semenjak update terbaru saat ingin melihat gambar atau foto dalam penyimpanan tidak menampilkan apa-apa, dan hanya layar hitam. Saat selesai mengedit gambar atau foto pun tidak bisa disimpan. Segera perbaiki BUG ini.",2,semenjak update terbaru gambar foto penyimpanan menampilkan apaapa layar hitam selesai mengedit gambar foto disimpan perbaiki bug,0
45,"aplikasinya sangat berguna untuk pelajar seperti saya, saya sangat terbantu dengan aplikasi ini setiap ada tugas mengedit saya akan memakai aplikasi CANVA karna emng aplikasi nya itu sangat bagus i love you canvaa🫶🏻🫶🏻",5,aplikasinya berguna pelajar terbantu aplikasi tugas mengedit memakai aplikasi canva karna emng aplikasi nya bagus love you canvaa,2
46,"aplikasi bagus cmn aku ngerasa klo ap ya,,aku ngerasa apk ini kyk digunakan sama orang yg pro aja soalnya di tanganku ini bener"" kaku bgt tp jujur suka dengan apk ini karna masalah tentang editing ini solusinya si,,cmn untuk desain nay di banyak dikit dong menurut saya itu masih sedikit bgt trs agak ga nyaman klo ngelag ga tau ini wifi sya yg bermasalah atau memng apk ny,emm saya rate 3 bintang dulu ya, 🙏🏻 intinya banyakin desain nya,, sebelumnya terimakasih,,maaf jika saya berlebihan 🙏🏻🤸",3,aplikasi bagus cmn ngerasa ap yasaya ngerasa apk kyk orang yg pro tanganku bener kaku banget jujur suka apk karna editing solusinya sicmn desain nay dikit banget nyaman ngelag wifi sya yg bermasalah memng apk nyemm rate bintang ya intinya banyakin desain nya terimakasihmaaf,1
47,"Aplikasinya simple dan mudah untuk digunakan namun ada beberapa template yang harus berlangganan ke Canva pro jadi kurang worth it, terimakasih.",3,aplikasinya simple mudah template berlangganan canva pro worth it terimakasih,1
48,"saran aja drpd semua"" pro dan hrs premium mending sklian jd apk berbyr drpd publish apk bebas byr tp giliran mau dipake elemennya/lain nya ada keterangan pro/harus premium dl, bikin kecewa, kyk dia yg tak kunjung beri kepastian💔",2,saran drpd pro hr premium mending sklian jd apk berbyr drpd publish apk bebas byr giliran dipake elemennyalain nya keterangan proharus premium bikin kecewa kyk yg kunjung kepastian,0
49,"Apk buruk banget !!! Loading dan bahkan NGAK BISA DOWNLOAD hasil editan. Udah rugi banget !!! Konten yg seharusnya di upload jam 8 pagi, ekh sampai sekarang ngak bisa bisa juga !!!! Rugi banyak gua, rugi karna apk ini !!!!!",1,apk buruk banget loading ngak download hasil editan udah rugi banget konten yg upload jam pagi ekh ngak rugi gua rugi karna apk,0
50,"Aplikasi yg bagus dan sangat membantu dalam mengedit dan mengekspresikan ide sendiri dalam membuat desain grafis, i love Canva.. 👍🫶",5,aplikasi yg bagus membantu mengedit mengekspresikan ide desain grafis love canva,2
51,"Jelek bangett, masa pas udh di ekspor jadiin ppt teks nya malah jadi teks biasaaa, huhuhu tugas presentasi ku jg ga menarik gara² teks nya berubah semuaaa:(",1,jelek bangett pa ekspor jadiin ppt teks nya teks biasa huhuhu tugas presentasi ku menarik gara teks nya berubah semua,0
52,sangat bagus dan enak untuk mengedit saya suka disini juga dapat untuk anak ² belajar prestasi pokok nya lengkap tidak sia² saya mendownload aplikasi ini 👌 hanya ini yang saya sampaikan terimakasih,5,bagus enak mengedit suka anak belajar prestasi pokok nya lengkap sia mendownload aplikasi terimakasih,2
53,Canva menjadi lebih rumit memindah dekorasi kebelakang/depan menjadi lebih susah...Opsi untuk memdahkan dekorasi kebelakang/depan lebih susah untuk di temukan.,1,canva rumit memindah dekorasi kebelakangdepan susahopsi memdahkan dekorasi kebelakangdepan susah temukan,0
54,aplikasi canva kreatifitas tanpa batas dari dlu saya selalu mempercayai desain grafis saya pada aplikasi ini mudah-mudahan tetap bisa di andalkan,5,aplikasi canva kreatifitas bata dlu mempercayai desain grafis aplikasi mudahmudahan andalkan,2
55,Aplikasi nya sudah bagus sih tapi saya tidak merasa nyaman karena semua fitur² bagus yang ingin saya gunakan malah harus membayar yang biayanya cukup mahal dalam waktu sebentar saja mohon agar kedepannya bisa memberi fitur² pro gratis dan tanpa membayar biaya lanjutan setelah masa gratisnya telah berakhir,1,aplikasi nya bagus sih nyaman fitur bagus membayar biayanya mahal sebentar mohon kedepannya fitur pro gratis membayar biaya lanjutan gratisnya,0
56,"Sy akui canva sangat membantu, tapi mines ny pas bagian mau mengunduh video di canva itu sangatlah lama dan kadang terjadi bug saat mendownload, mohon diperbaiki lalu sy akan memberikan pintang 5, terimakasih",4,sy akui canva membantu mine ny pa mengunduh video canva kadang bug mendownload mohon diperbaiki pintang terimakasih,2
57,"Aplikasi ya bagus tapi ada masalah yaitu tidak mau dibuka alias stuck di loading/ngebug katanya ""perlu waktu memuat lebih lama mungkin koneksi internet kamu?"" saya mohon untuk memperbaikinya agar bisa dibuka kembali",3,aplikasi ya bagus dibuka alias stuck loadingngebug memuat koneksi internet mohon memperbaikinya dibuka,1
58,"wah ini aplikasi sangat membantu sekali , dan memudah kan mahasiswa untuk mengerjakan ppt ataupun poster dan lain nya makasih , kalau bisa gratis tambah enak aku kasih 4 aja soalnya ada yang GK gratis",4,aplikasi membantu memudah mahasiswa ppt poster nya makasih gratis enak kasih gk gratis,2
59,"Saya mau terusin design yang belum kelar, kenapa malah nggak bisa, coba bikin baru tetep ngga bisa , app udah di update ,bahkan download ulang, tetep nggak bisa buat edit",1,terusin design kelar coba bikin tetep ngga app update download ulang tetep edit,0
60,Ini aplikasi apaan dah burik banget bikin ngelek ngabisin memori elemennya tolong diperbaiki supaya yang tidak pro tidak burik sekali-kali bikinlah yang bagus dikit yang tidak pro juga di pisah yang pro dan yang tidak pro biar tidak susah nyarinya aplikasi burik😡😡😡😡😡,1,aplikasi dah burik banget bikin ngelek ngabisin memori elemennya tolong diperbaiki pro burik sekalikali bikinlah bagus dikit pro pisah pro pro susah nyarinya aplikasi burik,0
61,"Penasaran deh, pengguna lain juga sama kayak aku atau enggak. Entah kenapa waktu ngedit foto di canva, hasil akhirnya kok kurang hd gitu, ya? Malah agak buram. Padahal biasanya suka banget edit foto di sini, hasil akhirnya hd banget. Bahkan font yang ukurannya kecil pun tetap kelihatan jelas banget. Tapi waktu aku terakhir kali ngedit foto, malah buram gitu. Aku harap segera dioptimalkan lagi.",4,penasaran deh pengguna kayak ngedit foto canva hasil hd ya buram suka banget edit foto hasil hd banget font ukurannya banget kali ngedit foto buram harap dioptimalkan,2
62,"canva terbaru banyak fitur yang aneh bahkan untuk mencopy paste dari google document sekarang tidak bisa, dan icon unntuk membuat daftar bertingkat pun menghilang, dan canva terbaru sekarang menjadi aneh tolong dibenahi lagi bukannya versi terbaru makin bagus malah makin buruk",3,canva terbaru fitur aneh mencopy paste google document icon unntuk daftar bertingkat menghilang canva terbaru aneh tolong dibenahi versi terbaru bagus buruk,1
63,"Kenapa sejak update canva saya tidak bisa terhubung? Padahal sinyal saya bagus dan membuka aplikasi lain juga lancar. Tapi ketika buka canva katanya ""tidak dapat terhubung, coba periksa internet anda"". Tolonglah pihak canva sejak update malah downgrade parah malah banyak bug gini",1,update canva terhubung sinyal bagus membuka aplikasi lancar buka canva terhubung coba periksa internet tolonglah canva update downgrade parah bug gini,0
64,Suka banget sama aplikasi ini berbagai fitur. Walaupun banyak yang pro. Tolong dong.walaupun melihat iklan. Asal bisa membuka fitur yang pro. Kedepannya di perbaiki lagi.sukses selalu buat canva.,4,suka banget aplikasi fitur pro tolong dongwalaupun iklan membuka fitur pro kedepannya perbaiki lagisukses canva,2
65,Bagus bangett🤍 cocok buat bikin poster/(DLL) gituu tapi tolong sticker nya jangan di proin semuaa😿 itu bikin kaya agak nyebelin gitu😌😪 dan tolong jangan kayak di proiinn😪😔 semoga di update lebih baik lagi yaa🤍 good job👍🤍,4,bagus bangett cocok bikin posterdll gituu tolong sticker nya proin semuaa bikin kaya nyebelin tolong kayak proiinn semoga update yaa good job,2
66,"Gimana mau masuk lah di canva, masukin akun Pelajar ga bisa, tolong yah canva nya di bagusin lagi. Soalnya gabisa masuk pake akun Pelajar, malah ngelag padahal jaringan stabil kok? Kalau bisa masuk pakai akun pelajar aku bakal tambah bintang.",1,gimana masuk canva masukin akun pelajar tolong yah canva nya bagusin gabisa masuk pake akun pelajar ngelag jaringan stabil masuk pakai akun pelajar bintang,0
67,"Bagus bgtt plisss ini sini aku bisa bikin jadwal pelajaran, piket dll. Tp awal loginya lama bgt tp rpp sihh aku tetep suka. Banyak banget pilihan desainnya, jadi bikin tugas sekolah dan jadwal sekolah jadi lebih cepat dan gampang. Terimakasih yg udh buat aplkasi ini🌷🌷🌷🙂",5,bagus bgtt plis bikin jadwal pelajaran piket dll tp loginya banget rpp sihh tetep suka banget pilihan desainnya bikin tugas sekolah jadwal sekolah cepat gampang terimakasih yg aplkasi,2
68,"aplikasi ini sejujurnya sangat bagus bagi pemula apalagi dengan fitur nya yang gratis. saran saya aplikasi ini sangat perlu pengoptimalan pada mobile, karena apk ini saat digunakan cukup lag. semoga tersampaikan dan di realisasikan. terima kasih sudah masih menyediakan fitur gratis meskipun beberapa sudah premium.",4,aplikasi sejujurnya bagus pemula fitur nya gratis saran aplikasi pengoptimalan mobile apk lag semoga realisasikan terima kasih menyediakan fitur gratis premium,2
69,"Filturnya bagus dan mudah tapi, Sering bug saat ingin menyimpan dokumen , padahal sinyal bagus , kuota masih full, ruangan masih aman tapi terjadi bug saat menyimpan",2,filturnya bagus mudah bug menyimpan dokumen sinyal bagus kuota full ruangan aman bug menyimpan,0
