,content,score,clean_content,sentiment
24,Kok sekarang di peribet kalau mau premium padahal dulu gampang sekali cuman taut kan di apk dana dah selesai pembayaran ini harus ada dapat kan dukungan hade kecewa sih malah tanba ribet,1,peribet premium gampang cuman taut aplikasi dana dah selesai pembayaran dukungan hade kecewa sih tanba ribet,0
25,"Sangat membantu saya sebagai pemula, ngomong"" develovernya mana nih kok akun ku gk bisa normal biar bisa bikin AI sendiri, solusinya dong",5,membantu pemula ngomong develovernya akun ku gk normal bikin ai solusinya,2
26,Bagus bgt efeknya keren tpi ya knp kalo mau edit foto lgi gabisa masa katanya coba ulang terus gimana ya tanggapan nya plisss,3,bagus banget efeknya keren tpi ya mengedit foto lgi gabisa coba ulang gimana ya tanggapan nya plis,1
27,apk nya sangat bagus tinggal premium nya murahin,5,,2
28,"bagus banget, sat set jadi bagus fotonya",5,bagus banget sat set bagus fotonya,2
29,bagus cocok buat edit fitur lengkap,4,bagus cocok mengedit fitur lengkap,2
30,"Kenapa ketika saya daftar kok sering terjadi kesalahan yah, udah daftar dari laptop di handphone malah sering terjadi kesalahan, Tolong dong di jelasin",1,daftar kesalahan yah daftar laptop handphone kesalahan tolong jelasin,0
31,"pengen coba yang premium malah pembayaran ditolak terus, pake pulsa udah, pake shopeepay udah, dana juga udah. ga tau apa yang salah",2,pengen coba premium pembayaran ditolak pake pulsa pake shopeepay dana salah,0
32,"Ribed sekarang, banyak foto yg ga bisa di edit, gatau apa nya yg dipilih yg bisa di edit, pdhl dulu ga gini❗",1,ribed foto yg mengedit gatau nya yg dipilih yg mengedit gini,0
33,"Aplikasinya udah baguss,👍🏻 tapi klo bisa lebih di sederhanakan lagi fiturnya soalnya masih pemula 😁😁",4,aplikasinya baguss sederhanakan fiturnya pemula,2
34,"Aplikasi yang sangat bagus buat pemula, saya juga bisa membuat foto menjadi hd dan cerah, caranya juga mudah dan tidak susah. Respect banget buat developer sudah membuat aplikasi sebagus ini dan saya ucapkan terimakasih banyak buat developer 🙏😁😁",5,aplikasi bagus pemula foto hd cerah mudah susah respect banget developer aplikasi sebagus ucapkan terimakasih developer,2
35,"bagus untuk para pemula, fitur fitur nya juga banyak yg tidak berbayar, dan tidak ada water mark",5,bagus pemula fitur fitur nya yg berbayar water mark,2
36,"Knp ko setiap di update, makin ribet ajh cara penggunaan aplikasinya, lambat bgt buka 1 Poto buat di edit juga, masih muter2 ajh ga kebuka2, mohon maaf dan terimakasih🙏🙏 Untuk lr yg sblm seblmnya itu menurutku udah keren ga terlalu makan waktu, tpi yg update skrng aga lola ya bro",4,knp ko update ribet ajh penggunaan aplikasinya lambat banget buka poto mengedit muter ajh kebuka mohon maaf terimakasih lr yg seblmnya menurutku keren makan tpi yg update skrng aga lola ya bro,2
37,Bntar kok semua fitur harus premium sih ngapain adain aplikasi ini kalo ujung ujung nya minta premium untuk mengakses fitur tersebut gimana mau ngedit video dan foto bngst kalo fitur ny harus premium kan goblog😑😑😑,1,bntar fitur premium sih adain aplikasi ujung ujung nya premium mengakses fitur gimana ngedit video foto bngst fitur ny premium goblog,0
38,"Semoga pihak lightroom bisa tambah fitur untuk baca file raw dan bisa upload semua satu kali, bukan malah satu😅",2,semoga lightroom fitur baca file raw upload kali,0
39,Fitur baru kadang hilang saat pembayaran setelah 1 bulan,5,fitur kadang hilang pembayaran,2
40,Kenapa gabisaaa mesti tulisannaya gagal memuat versi pengembangan Lama2 gk bener,2,gabisa mesti tulisannaya gagal memuat versi pengembangan gk bener,0
41,sangat bagus untuk mengedit foto,4,bagus mengedit foto,2
42,"Apk bagus, tp mau berlangganan kok gagal terus ya?",5,apk bagus berlangganan gagal ya,2
43,aplikasi ny bgus bnget bisa bantu ngedit foto,5,aplikasi ny bgus bnget bantu ngedit foto,2
44,"sangat bagus ini aplikasinya mantap,terimakasi admin",5,bagus aplikasinya mantapterimakasi admin,2
45,sayangnya fitur bagus di buat pro😢,5,sayangnya fitur bagus pro,2
46,bagus tapi kalo pengen lebih bagus harus bayar,5,bagus pengen bagus bayar,2
47,cukup bagus buat ngedit lebih jernih hasilnya👍,5,bagus ngedit jernih hasilnya,2
48,ini sdh bagus gw rasa update ke depannya makin keren lagi🙏🏻,5,sdh bagus update depannya keren,2
49,sangat bagus untuk mengedit,5,,2
50,mantap dan sangat beda jauh dari versi lama saya sudah menggunakan aplikasi ini dari 2 tahun yang lalu update update tool dan preset sangat membantu menu favorit saya musking hehehe,5,mantap beda versi aplikasi update update tool preset membantu menu favorit musking hehehe,2
51,"fitur ketika tidak berlangganan terlalu sedikit, dan tarif berlangganan dibanding dengan fitur yg didapat tidak sepadan",1,fitur berlangganan tarif berlangganan dibanding fitur yg sepadan,0
52,"Please, kasi opsi untuk watermark lagi lah. 😵",4,please kasi opsi watermark,2
53,"Apk ini tergantung spek hp dan kemampuan pengedit, kalau ada yang merasa apknya jelek, coba lihat dulu spek hp dan kemampuan editing anda, selama saya menggunakan, maupun itu impor, proses editing, bahkan sampai save photo, meski ada kendala, tapi saya cari cara agar kendala itu terselesaikan, bisa autodidak ataupun cari referensi (teman/yt). Namanya juga buatan manusia pasti tidak sempurna.",5,apk tergantung spek hp kemampuan pengedit apknya jelek coba lihat spek hp kemampuan editing impor prose editing save foto kendala cari kendala terselesaikan autodidak cari referensi temanyt namanya buatan manusia sempurna,2
54,"Update terbaru letak Fitur ""terapkan selanjutnya"" aksesnya sulit... butuh ke bagian atas dulu.. tidak ringkas seperti sebelumnya.. untuk produksi foto banyak kurang efisien. Di bagian bawah masih ada space. Mohon fitur terapkan selanjutnya diletakkan di bagian sana",1,update terbaru letak fitur terapkan aksesnya sulit butuh ringkas produksi foto efisien space mohon fitur terapkan diletakkan,0
55,"Sebelum update ke versi terbaru, editing cukup stabil.. tpi begitu update ke versi 7.0.0, saya cukup terperangah dgn penambahan fitur masking yg memudahkan saya.. namun setelah saya coba untuk export hasil edit dlm ukuran penuh selalu gagal. Baru setelah diubah dimensi yg 2048pix bisa export. Tapi belakangan mulai sering force quit saat sedang edit foto atau scroll foto di galery lightroom. Mohon masalah ini segera diperbaiki ya. Terima kasih",4,update versi terbaru editing stabil tpi update versi terperangah penambahan fitur masking yg memudahkan coba export hasil mengedit ukuran penuh gagal diubah dimensi yg pix export force quit mengedit foto scroll foto galery lightroom mohon diperbaiki ya terima kasih,2
56,"aplikasi ini benar benar bagus untuk editing foto, tapi kenapa saat ini performanya menurun banget, sejak update, foto foto yang pernah di edit berwarna hitam, ekspor foto menjadi sangat lama, beda jauh sama sebelumnya yang cepet banget..... Awalnya saya pikir itu hp saya yang bermasalah, tapi kata beberapa teman yang menggunakan lightroom juga mebenarkan terkait masalah ini... Jadi tolong diperbaiki....:(",2,aplikasi bagus editing foto performanya menurun banget update foto foto mengedit berwarna hitam ekspor foto beda cepet banget pikir hp bermasalah teman lightroom mebenarkan terkait tolong diperbaiki,0
57,Aplikasi untuk mengedit foto yang terbaik setelah PicsArt. Karena disini bisa edit filter sendiri ataupun edit filter bawaan dr app nya. Biasa nya sebelum upload foto ke instagram pasti edit nya di app lightroom dulu. Dan banyak bgt preset bagus yang bikin jatuh cinta.,5,aplikasi mengedit foto terbaik picsart mengedit filter mengedit filter bawaan app nya nya upload foto instagram mengedit nya app lightroom banget preset bagus bikin jatuh cinta,2
58,"Kenapa ya lightroom semenjak di update jadi error? Saya sudah membuat preset sendiri, tapi saat saya mau mengedit foto lagi presetnya hilang, dan foto kemarin² yang sudah saya edit tidak bisa tampil, tulisannya gagal memuat gambar. Kira² kenapa ya? Tolonglah perbaiki lagi!!",1,ya lightroom semenjak update error preset mengedit foto presetnya hilang foto kemarin mengedit tampil tulisannya gagal memuat gambar ya tolonglah perbaiki,0
59,"aplikasinya keren kak,fitur-fiturnya juga bagus2 hasilnya sangat memuaskan tpi belakangan ini apk lightroom klo mau ngedit itu foto fotonya ga muncul,hanya ada gambar hitam dan ada tulisan ""gagal memuat versi pengembangan"" ada yang tau ga caranya gimana?tutor dong",3,aplikasinya keren kakfiturfiturnya bagus hasilnya memuaskan tpi aplikasi lightroom ngedit foto fotonya munculhanya gambar hitam tulisan gagal memuat versi pengembangan gimanatutor,1
60,"Aplikasi Lightroom adalah perangkat lunak yang luar biasa untuk pengeditan foto. Antarmuka yang intuitif membuatnya mudah digunakan, bahkan bagi pemula. Fitur pengeditan yang komprehensif memungkinkan pengguna untuk melakukan penyesuaian warna, kontras, kecerahan, dan banyak lagi dengan presisi yang tinggi. Alat pemotongan dan pembingkaian yang tersedia juga sangat membantu dalam menciptakan komposisi yang menarik. Selain itu, adanya opsi sinkronisasi dengan cloud memudahkan akses ke foto-foto d",5,aplikasi lightroom perangkat lunak pengeditan foto antarmuka intuitif membuatnya mudah pemula fitur pengeditan komprehensif pengguna penyesuaian warna kontras kecerahan presisi alat pemotongan pembingkaian tersedia membantu menciptakan komposisi menarik opsi sinkronisasi cloud memudahkan akses fotofoto,2
61,Aku content creator sangat terbantu dengan app lr ini. Tapi setelah update kenapa jadi loadingnya lama bgt ga kelar kelar. Trs udah di refresh tetep kaya gitu saya jadi gabisa pake app nya. Tolong diperbaiki ya karena saya berlangganan di lr dan gamau rugi,1,content creator terbantu app lr update loadingnya banget kelar kelar trs refresh tetep kaya gabisa pake app nya tolong diperbaiki ya berlangganan lr gamau rugi,0
62,"Gimana sih mau login kok kesalahan ssl error apaan dah, pdhl wifi full sinyal di ganti pake data ttp aja ga bisa klok gini caranya gimana mau login, gimana mau ngedit sy udh coba dari jam 3 sampe subuh ttp ga bisa. Tolong di perbaiki yaa bpk/ibu/om/Tante yg buat apk ini",1,gimana sih login kesalahan ssl error dah wifi full sinyal ganti pake data ttp klok gini gimana login gimana ngedit coba jam sampe subuh ttp tolong perbaiki yaa bpkibuomtante yg aplikasi,0
63,"auto uninstal padahal beberapa tahun pake apk ini , sekarang jadi harus premium. mentang2 banyak yg pake jadi semua harus premium padahal dulu engga , dulu lebih bebas berkreasi pake apk ini sekarang apa2 harus premium , bener2 kecewa berat! terimakasih untuk beberapa tahun ini.",1,auto uninstal pake aplikasi premium mentang yg pake premium engga bebas berkreasi pake aplikasi premium bener kecewa berat terimakasih,0
64,"Alah apaan ,,,udah di upgrade ke 2kalinya malah kaga bisa buat ngedit,padahal kuota + jaringan oke,di coba matiin data tetep kaga bisa,,,,emang susah kalo cari yang bagus fan gampang mah. Tolong di perbaiki ya,masa udah di upgrade bukannya tambah cakep,malah kaga bisa buat ngedit. Nyesellll!!!",1,alah upgrade kalinya kaga ngeditpadahal kuota jaringan okedi coba matiin data tetep kaga bisaemang susah cari bagus fan gampang mah tolong perbaiki yamasa upgrade cakepmalah kaga ngedit nyesell,0
65,"Enakan yg dulu lightroom nya, kalo ngedit lebih lengkap fitur²nya buat ngedit nya, makin ke sini makin dikit fitur nya dan harus berbayar kalo mau yg lengkap. Seharus nya buat d hape jgn berbayar.. Cukup di laptop aja yg berbayar hehe. Kan bisa bermanfaat juga buat org². Jadi ada yg gratis tapi lengkap standar kyk versi lightroom dulu, sama kalo mau yg lebih lengkap pilih yg berbayar. Semoga saran ini d baca oleh yg punya lightroom nya :)))",2,enakan yg lightroom nya ngedit lengkap fiturnya ngedit nya dikit fitur nya berbayar yg lengkap seharus nya hape berbayar laptop yg berbayar hehe bermanfaat org yg gratis lengkap standar kyk versi lightroom yg lengkap pilih yg berbayar semoga saran baca yg lightroom nya,0
66,"Sebelum diupdate tidak ada masalah untuk menjalankan aplikasi, namun setelah update terdapat masalah pada autentikasi. Saya sudah coba instal ulang dan hasilnya tetap sama. Untuk update selanjutnya setidaknya saya harap bisa dijalankan secara offline agar bisa sedikit berguna dibanding versi yang sekarang.",2,diupdate menjalankan aplikasi update autentikasi coba instal ulang hasilnya update harap dijalankan offline berguna dibanding versi,0
67,"Aku udah lama pake apk ini. Asli terbukti bagus bgt buat edit foto dari burik jd bagus bgt kayak foto2 selebgram. Tapi pas aku update lagi kenapa yaa gabisa disave? Padahal udah aku save dari lr tp ga muncul fotonya di galeri. Memoriku juga ngga penuh, aku ulangi ngesave lagi tetep gada fotonya. Mohon bantuannya, mohon diperbaiki lagi. Makasih😊",5,pake aplikasi asli terbukti bagus banget mengedit foto burik jd bagus banget kayak foto selebgram pa update yaa gabisa disave save lr muncul fotonya galeri memoriku ngga penuh ulangi ngesave tetep gada fotonya mohon bantuannya mohon diperbaiki makasih,2
68,lightroom mobile sekarang kacau. ga bisa import file RAW. percuma bayar premium kalo tidak bisa edit RAW. sekarang sering crash editan hilang sendiri. semua preset hilang yang sudah diimport. kalo beberapa bulan masih gini juga mending pindah pakai aplikasi lain.,1,lightroom mobile kacau import file raw bayar premium mengedit raw crash editan hilang preset hilang diimport gini mending pindah pakai aplikasi,0
69,"Ini knpa jadi gini daahh?? Semua foto ilang, diklik juga udah gabisa, dan knpa preset2 nya juga ilang yaampuunn. Tolonglah balikin lagi, capek loh buat presetnya ituu. Biasanya paling seneng edit poto pake app ini dan skrg jdi kecewa kali sumpahlah. Perbaikidong balikin presetnya!!!",1,knpa gini daahh foto ilang diklik gabisa knpa preset nya ilang yaampuunn tolonglah balikin capek loh presetnya ituu seneng mengedit poto pake app jdi kecewa kali sumpahlah perbaikidong balikin presetnya,0
70,"Preset kali ini kurang bagus , karna dulunya pakai versi yg lama ngedit lebih enak.setelah saya upgrade tiba2 file saya yg udh saya edit dulu hilang semua . Dan ketika saya klik all photos eh malah fto2 galery yg keluar . Seharusnya itu kl setelah upgrade lebih bgus fitur nya . Nggk malah kayak gitu, gak jelas",1,preset kali bagus karna dulunya pakai versi yg ngedit enaksetelah upgrade file yg mengedit hilang klik all photo eh fto galery yg upgrade bgus fitur nya nggk kayak,0
71,"Dulu ini aplikasi bagus bgt, cuma kemarin sewaktu perpanjangan masa premium nya dan setelah update, ada yg aneh dgn hasil upload foto, warna foto setelah di upload jadi kusam, padahal udh di file raw dgn ukuran bsr bgt. Udh coba diakali di colour grading, tetap gag bisa, warna nya balik lagi..",3,aplikasi bagus banget kemarin perpanjangan premium nya update yg aneh hasil upload foto warna foto upload kusam file raw ukuran bsr banget udh coba diakali colour grading gag warna nya,1
72,"Setelah d update jadi bantak bug saat save foto dan ketika saya mau simpan preset( buat preset ) ada beberapa sistem yang tidak berjalan normal, saya rindu lightroom versi lama tapi saya tidak tau cara mendapatkannya Dan sekarang saya masih menggunakan lightroom walau pun ada beberapa bug, karena tidak ada apk lain sebagus lightroom",4,update bantak bug save foto simpan preset preset sistem berjalan normal rindu lightroom versi mendapatkannya lightroom bug aplikasi sebagus lightroom,2
73,"Versi sekarang jadi ga enak suka keluar sendiri dengan alasan ""apk lightroom tidak menanggapi"" padahal versi yang dulu ga kek gini;( tolong di perbaiki:) fitur fitur didalam nya emg udh bagus mantap cocok buat para photografer.. mohon diperbaiki secepatnya sebelum para user lightroom ganti,👌",3,versi enak suka alasan aplikasi lightroom menanggapi versi kek gini tolong perbaiki fitur fitur didalam nya emg bagus mantap cocok photografer mohon diperbaiki secepatnya user lightroom ganti,1
74,"Ternyata benar yang dikeluhankan semua pengguna kalau mau import foto dari hasil kamera HP itu tidak bisa, kecuali foto hasil download. Tolong pihak development segera memperbaikinya kalau begini terus bakal banyak yang berhenti menggunakan aplikasi lightroom!!!!",1,dikeluhankan pengguna import foto hasil kamera hp kecuali foto hasil download tolong development memperbaikinya berhenti aplikasi lightroom,0
75,"Tolong lah ini kenapa dah habis update malah jadi lemot pol, mana foto udah capek"" ngedit, terus ganti foto berikutnya buat edit foto, eh pas balik ke foto sebelumnya, editannya balik ke default mana ga ada diriwayat edit, udah capek"" ngedit ngepasin yang bagus, eh ilang, bikin ga mood, export juga lama bangeeettt padahal pake akun berbayar/premium",3,tolong dah habis update lemot pol foto capek ngedit ganti foto mengedit foto eh pa foto editannya default diriwayat mengedit capek ngedit ngepasin bagus eh ilang bikin mood export bangeeet pake akun berbayarpremium,1
76,"Pake lightroom udh dari tahun 2020,, aman2 aja & hasil editan juga bagus,, tapi sayang nya pas tahun ini tiba2 semua foto yg udh di edit & tersimpan di galeri tiba2 hilang 😭 pas buka aplikasi nya tiba2 semua foto yg udh di edit dsna ngk bisa kebuka & hitam semua,, kok gitu ya? Kata nya sih tidak berhasil dalam mode pengembangan, mksd nya apa ya? Pdahal aku udh update aplikasi nya,, jdi hilang semua foto2 😭😭",3,pake lightroom aman hasil editan bagus sayang nya pa foto yg mengedit tersimpan galeri hilang pa buka aplikasi nya foto yg mengedit dsna ngk kebuka hitam ya nya sih berhasil mode pengembangan mksd nya ya pdahal update aplikasi nya jdi hilang foto,1
77,"semenjak upgrade jadi susah buat ngimpor foto, kukira hp sy yg bermasalah ternyata liat diulasan banyak jg yg mengalami seperti saya, tolong diperbaiki! jika tidak, saya terpaksa bakal pindah ngedit foto di apk lain. apk ini sudah tidak seperti dulu lagi",1,semenjak upgrade susah ngimpor foto kukira hp yg bermasalah liat diulasan yg mengalami tolong diperbaiki terpaksa pindah ngedit foto aplikasi aplikasi,0
78,"Aplikasi nya bagus buat ngedit foto, cuman kenapa kalau pas mau ngedit video harus pakai paket premium dulu😔ga gratis kayak pas ngedit foto huhu, lebih ditingkatkan lagi aplikasi nya. Btw kalau udah bisa ngedit video tanpa paket premium aku kasih bintang 5 yaa 🙏",3,aplikasi nya bagus ngedit foto cuman pa ngedit video pakai paket premium duluga gratis kayak pa ngedit foto huhu ditingkatkan aplikasi nya btw ngedit video paket premium kasih bintang yaa,1
79,"aku pakek lr juga udah lama. ini setiap tak update sih gpp. sebelum update yg ini, pernah aku update preset aku juga hilang semua foto hampir 500 hilang+presetnya☹️aku saat itu kecewa banget. sekarang mau tak update lagi kok juga gak bisa sih, jadi takut foto nya hilang lagi padahal penyimpanan udh tk atur di memory loh, tolong kendalanya segera di perbaiki ya🙏.",1,pakek lr update sih gpp update yg update preset hilang foto hilangpresetnyaaku kecewa banget update sih takut foto nya hilang penyimpanan tk atur memory loh tolong kendalanya perbaiki ya,0
80,"Lumayan aplikasi ini bagus dalam editingnya, banyak fitur-fitur yang menarik dan kurang mudah dipahami sih tapi tetap bagus bisa buat nambah ilmu dalam editing foto, kalo bisa tambahin format editing yang bisa diketik dalam angka susah geser geser bisa ga pas.. mantyapcuk👍",4,lumayan aplikasi bagus editingnya fiturfitur menarik mudah dipahami sih bagus nambah ilmu editing foto tambahin format editing diketik angka susah geser geser pa mantyapcuk,2
81,"Makin kesini makin ngga jelas. Import foto gabisa, berkali kali sampai refresh hp juga tetap ga bisa. Setelah di edit mau di ekspor tiba2 hilang. Harus dari cloud. Penyimpanan harus minimal 300mb itu gimana cerita nya. Kecewa sekali",1,kesini ngga import foto gabisa berkali kali refresh hp mengedit ekspor hilang cloud penyimpanan minimal mb gimana cerita nya kecewa,0
82,Parah min.... pake premium juga... tolong di perbaiki lagi apk nya... saya udah mahal mahal beli langganan. 1 tahun... malah dapet elor kaya ginih... udah cape ngedit. Waktu di save. Muncul d galeri. Jadi file poto aslinya lagi. Hasil editan ilang.... 😡.,1,parah min pake premium tolong perbaiki aplikasi nya mahal mahal beli langganan dapet elor kaya ginih cape ngedit save muncul galeri file poto aslinya hasil editan ilang,0
83,"Tolong perbaiki lagi dong!! Saya udah lama menggunakan lr dan saya bener2 suka banget hasil editan nya bagus. Tapi kenapa setelah di update ke versi baru ,pas mau buka apk ini malah suruh login lagi, foto2 yg udah saya edit dan presetnya semua hilang. Jadi saya harus ngulang dari awal lagi,, tolong perbaiki lagi....",3,tolong perbaiki lr bener suka banget hasil editan nya bagus update versi pa buka aplikasi suruh login foto yg mengedit presetnya hilang ngulang tolong perbaiki,1
84,"sukaaa.. bagus banget.. awalnya ga bisa impor foto. pakai cara apapun smpe googling jg ga bisa, nyerah tpi blm di hpus apknya. Eh entah setelah ga dipakai seminggu, nyoba lagi bisa.. entah kenapa.. tpi hasilnya suka, bisa edit"" sesuai keinginan dan memuaskan..",5,suka bagus banget impor foto pakai apapun smpe googling nyerah tpi hpus apknya eh dipakai seminggu nyoba tpi hasilnya suka mengedit sesuai memuaskan,2
85,"Semalem baru di perbarui, pagi buka aplikasinya udah berubah jadi Lightroom for samsung, pas liat file foto langsung blank hitam. Mau upload foto untuk di edit juga ga bisa selalu gagal, saya pengguna hp Xiaomi, apa ngaruh karena aplikasi Lightroom ini untuk samsung?",1,semalem perbarui pagi buka aplikasinya berubah lightroom for samsung pa liat file foto langsung blank hitam upload foto mengedit gagal pengguna hp xiaomi ngaruh aplikasi lightroom samsung,0
86,"Versi terakhir sebelum ku update aplikasi ini masih normal fungsinya semua tanpa ada kendala sedikitpun. Aku juga sudah downloaf buanyakkkk banget preset di dalamnya. Masih ada banyak foto di dalam galeri lightroomnya yg belum aku selesain editnya, masih jadi draft dan belum aku ekspor. Tapi hari ini aku iseng update aplikasinya, malah force close terus. Memori internal yg tadinya free space 1gb langsung jadi 0kb pas buka lightroom versi terbaru ini. Trus alhasil hpku restart2 terus. KECEWA SIH!",1,versi ku update aplikasi normal fungsinya kendala sedikitpun downloaf buanyakk banget preset dalamnya foto galeri lightroomnya yg selesain editnya draft ekspor iseng update aplikasinya force close memori internal yg free space gb langsung kb pa buka lightroom versi terbaru trus alhasil hpku restart kecewa sih,0
